,airline,airline_id,source,source_id,dest,dest_id,equipment
56133,UA,5209,DEN,3751,IAD,3714,320 752 319 739 738
56142,UA,5209,DEN,3751,LAS,3877,738 320 739 752
56143,UA,5209,DEN,3751,LAX,3484,739 320 319 738 753 752
56145,UA,5209,DEN,3751,LGA,3697,752 738 320
56155,UA,5209,DEN,3751,MIA,3576,319
56162,UA,5209,DEN,3751,MSP,3858,320
56170,UA,5209,DEN,3751,ORD,3830,739 752 738 319 320 73G
56191,UA,5209,DEN,3751,SEA,3577,320 738 739
56192,UA,5209,DEN,3751,SFO,3469,752 738 320 739 73G 319 753
56605,UA,5209,IAD,3714,BOS,3448,320 752 73G 739 738
56621,UA,5209,IAD,3714,DEN,3751,739 752 319 738 320 753
56644,UA,5209,IAD,3714,JFK,3797,CRJ
56647,UA,5209,IAD,3714,LAS,3877,320 752
56648,UA,5209,IAD,3714,LAX,3484,753 320 319 752 739 738
56649,UA,5209,IAD,3714,LGA,3697,CRJ ERJ E70 CR7
56659,UA,5209,IAD,3714,MIA,3576,319
56660,UA,5209,IAD,3714,MSP,3858,CR7
56666,UA,5209,IAD,3714,ORD,3830,319 320 752 753 739 738
56686,UA,5209,IAD,3714,SEA,3577,739 752 320
56687,UA,5209,IAD,3714,SFO,3469,752 320 753 738 739 319
56905,UA,5209,JFK,3797,IAD,3714,CRJ
56908,UA,5209,JFK,3797,LAX,3484,757
56914,UA,5209,JFK,3797,SFO,3469,757
56941,UA,5209,LAS,3877,DEN,3751,320 752 319 738 739
56944,UA,5209,LAS,3877,IAD,3714,320 752 739
56946,UA,5209,LAS,3877,LAX,3484,752 738 319 320 739
56947,UA,5209,LAS,3877,ORD,3830,73G 738 739 320 752 319
56950,UA,5209,LAS,3877,SFO,3469,739 738 320 752 319 753
56958,UA,5209,LAX,3484,BOS,3448,752 753 320 739
56964,UA,5209,LAX,3484,DEN,3751,752 739 738 320 753 319
56973,UA,5209,LAX,3484,IAD,3714,753 320 752 739 738
56979,UA,5209,LAX,3484,JFK,3797,757
56981,UA,5209,LAX,3484,LAS,3877,739 319 738 320 752
56987,UA,5209,LAX,3484,MSP,3858,CR7
56993,UA,5209,LAX,3484,ORD,3830,739 738 752 320 319 753
57008,UA,5209,LAX,3484,SEA,3577,319 738 320 752
57009,UA,5209,LAX,3484,SFO,3469,739 752 753 319 320 738
57034,UA,5209,LGA,3697,DEN,3751,752 320 738
57035,UA,5209,LGA,3697,IAD,3714,CRJ ERJ E70 CR7
